==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 201 (/usr/bin/python3.12)
==PROF== Disconnected from process 201
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Block Limit SM","block","32",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Block Limit Registers","block","4",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Block Limit Shared Mem","block","4",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Block Limit Warps","block","16",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Theoretical Active Warps per SM","warp","16",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Theoretical Occupancy","%","25",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Achieved Occupancy","%","14.28",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","Achieved Active Warps Per SM","warp","9.14",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","","","","AchievedOccupancy","OPT","The difference between calculated theoretical (25.0%) and measured achieved occupancy (14.3%) can be the result of warp scheduling overheads or workload imbalances during the kernel execution. Load imbalances can occur between warps within a block as well as across blocks of the same kernel. See the CUDA Best Practices Guide (https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html#occupancy) for more details on optimizing occupancy.","global","42.86"
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Occupancy","","","","TheoreticalOccupancy","OPT","The 4.00 theoretical warps per scheduler this kernel can issue according to its occupancy are below the hardware maximum of 16. This kernel's theoretical occupancy (25.0%) is limited by the number of required registers, and the required amount of shared memory.","global","75"
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Source Counters","Branch Instructions Ratio","%","0.05",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Source Counters","Branch Instructions","inst","844160",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Source Counters","Branch Efficiency","%","96.45",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","Source Counters","Avg. Divergent Branches","branches","365.71",
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","SourceCounters","","","","UncoalescedGlobalAccess","OPT","This workload has uncoalesced global accesses resulting in a total of 4751360 excessive sectors (33% of the total 14503936 sectors). Check the L2 Theoretical Sectors Global Excessive table for the primary source locations. The CUDA Programming Guide (https://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#device-memory-accesses) has additional information on reducing uncoalesced device memory accesses.","global","24.72"
"0","201","python3.12","127.0.0.1","gdn_persistent_tensorcore_kernel","1","7","(128, 1, 1)","(32, 1, 1)","0","9.0","SourceCounters","","","","UncoalescedSharedAccess","OPT","This workload has uncoalesced shared accesses resulting in a total of 3145728 excessive wavefronts (28% of the total 11304960 wavefronts). Check the L1 Wavefronts Shared Excessive table for the primary source locations. The CUDA Best Practices Guide (https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html#shared-memory-in-matrix-multiplication-c-ab) has an example on optimizing shared memory accesses.","global","27.78"
